Coin,Description,Rank,Price,Price - Currency,Market capitalization,Market capitalization - Currency,Circulating supply,Volume / Market Capitalization,Category
BTC,Bitcoin,1,108006.08,USD,2148026215112.96,USD,19888012,0.015747439355320993,"Cryptocurrencies, Layer 1"
ETH,Ethereum,2,2500.81,USD,301890237599.59863,USD,120716982.73743254,0.0361593663873037,"Smart contract platforms, Layer 1, World Liberty Financial portfolio"
USDT,Tether USDt,3,1.0003,USD,158644170612.53235,USD,158596591635.04184,0.26622398939733155,"Stablecoins, Asset-backed Stablecoins, Fiat-backed stablecoins, World Liberty Financial portfolio"
XRP,XRP,4,2.2112,USD,130611577141.97119,USD,59068187926,0.00950223537222631,"Cryptocurrencies, Enterprise solutions, Layer 1, Made in America"
BNB,BNB,5,652.61,USD,91943094137.55971,USD,140885205.77,0.013175612662856403,"Smart contract platforms, Centralized-exchange, Layer 1, Exchange tokens"
SOL,Solana,6,146.62,USD,78420200795.17896,USD,534853367.8569018,0.025036779585668682,"Smart contract platforms, Layer 1, Made in America"
USDC,USDC,7,1,USD,62185421654.38684,USD,62185421654.38684,0.07551434170273337,"Stablecoins, Asset-backed Stablecoins, Made in America, Fiat-backed stablecoins, World Liberty Financial portfolio"
TRX,TRON,8,0.28333,USD,26854745948.241768,USD,94782571376.98714,0.011749329484146444,"Smart contract platforms, Payments, Layer 1, World Liberty Financial portfolio"
DOGE,Dogecoin,9,0.16292,USD,24433429504.833252,USD,149971946383.7052,0.02373573951881529,"Memes, Cryptocurrencies, Layer 1, Made in America"
ADA,Cardano,10,0.57391,USD,20307259514.610706,USD,35384048918.1417,0.018165475430067378,"Smart contract platforms, Layer 1, Made in America"
HYPE,Hyperliquid,11,39.012,USD,13027206158.16,USD,333928180,0.011608888507387791,"Decentralized exchange, Derivatives, Layer 1, Exchange tokens"
SUI,Sui,12,2.8755,USD,9934896359.47592,USD,3455015252.817221,0.0497083507465879,"Smart contract platforms, Developments tools, Scaling, Layer 1, Made in America, World Liberty Financial portfolio"
BCH,Bitcoin Cash,13,482.86,USD,9605574721.3125,USD,19893084.375,0.02730941212197424,"Cryptocurrencies, Layer 1, Made in America"
LINK,Chainlink,14,13.078,USD,8868191413.581543,USD,678099970.4527867,0.019551126736352686,"Oracles, Data management & AI, Interoperability, Web3, Made in America, Real-world assets, World Liberty Financial portfolio"
LEO,UNUS SED LEO,15,9.0461,USD,8350668749.853289,USD,923123638.9,0.00012945224386051382,"Centralized-exchange, Payments, Exchange tokens"
AVAX,Avalanche,16,17.779,USD,7506146368.060387,USD,422191707.5235045,0.01741935765118161,"Smart contract platforms, Layer 1, Made in America, Real-world assets"
XLM,Stellar,17,0.23629,USD,7309735162.8381405,USD,30935440191.45178,0.008592670891329599,"Cryptocurrencies, Smart contract platforms, Layer 1, Made in America, Real-world assets, Exchange tokens"
TON,Toncoin,18,2.7457,USD,6777612765.083372,USD,2468446212.2895336,0.01438433072389444,"Smart contract platforms, Layer 1"
SHIB,Shiba Inu,19,0.000011428,USD,6733926828.661728,USD,589248059910896.8,0.013003630838015905,"Memes, Cryptocurrencies"
HBAR,Hedera,20,0.15424,USD,6538455632.416715,USD,42391439525.52331,0.018407520776893206,"Smart contract platforms, Enterprise solutions, DeFi, Layer 1, Made in America, Real-world assets"
LTC,Litecoin,21,86.37,USD,6567703986.499921,USD,76041495.73347135,0.04261261797811612,"Cryptocurrencies, Layer 1, Made in America"
XMR,Monero,22,312.71,USD,5768481339.289714,USD,18446744.07370955,0.01069168874376622,"Privacy, Cryptocurrencies, Layer 1"
DAI,Dai,23,0.9999,USD,5364846164.394606,USD,5365382702.664872,3.4433560865542696,"Stablecoins, Asset-backed Stablecoins, DeFi"
DOT,Polkadot,24,3.3311,USD,5310673833.331387,USD,1594270311.1078582,0.026286065376702923,"Smart contract platforms, Layer 1"
USDE,Ethena USDe,25,1.0001,USD,5306786230.568457,USD,5306255605.007956,0.014022619307018048,"Stablecoins, Asset-backed Stablecoins"
BGB,Bitget Token,26,4.3811,USD,5125856723.09412,USD,1169993089.2,0.0049902999914049635,"Centralized-exchange, Exchange tokens"
UNI,Uniswap,27,6.9171,USD,4349056324.506741,USD,628739836.71,0.06765662598044593,"Decentralized exchange, DeFi, DAO, Made in America, Exchange tokens"
AAVE,Aave,28,268.31,USD,4071721981.196839,USD,15175438.78795736,0.06387333049836616,"Lending & Borrowing, DeFi, DAO, Made in America, World Liberty Financial portfolio"
PEPE,Pepe,29,0.0000096447,USD,4057427875.1885314,USD,420689899653543.56,0.11093997551233342,Memes
PI,PI,30,0.45949,USD,3511248607.2777376,USD,7641621378.654024,0.015251761064789178,Layer 1
OKB,OKB,31,48.742,USD,2924520000,USD,60000000,0.0011815307679237824,"Centralized-exchange, Layer 1, Exchange tokens"
TAO,Bittensor,32,320.57,USD,2874529391.24,USD,8966932,0.020229292561127914,"Distributed computing & Storage, Oracles, Data management & AI, DAO, Layer 1, DePIN"
APT,Aptos,33,4.4033,USD,2838027953.0743747,USD,644522960.7508856,0.027151732544345632,"Smart contract platforms, Layer 1, Made in America"
NEAR,NEAR Protocol,34,2.118,USD,2607665251.158,USD,1231192281,0.03616478742956332,"Smart contract platforms, Data management & AI, Interoperability, Layer 1, Made in America"
ICP,Internet Computer,35,4.7198,USD,2525535135.018989,USD,535093676.6428639,0.01657139615738557,"Smart contract platforms, Data management & AI, DeFi, Layer 1, DePIN"
CRO,Cronos,36,0.080474,USD,2504244777.786752,USD,31118681534.244003,0.0022975326344863815,"Smart contract platforms, Centralized-exchange, Payments, Layer 1, Exchange tokens"
ETC,Ethereum Classic,37,16.189,USD,2470237469.9163938,USD,152587403.16983098,0.01744684148276191,"Smart contract platforms, Layer 1"
ONDO,Ondo,38,0.77287,USD,2441579435.93823,USD,3159107529,0.02837614804443031,"Made in America, Real-world assets, World Liberty Financial portfolio"
USD1,World Liberty Financial USD,39,1.0002,USD,2207028013.3392,USD,2206586696,0.30623022831121793,"Stablecoins, Made in America, World Liberty Financial portfolio"
KAS,Kaspa,40,0.074253,USD,1960854564.1912224,USD,26407748699.597626,0.02054361474734508,"Cryptocurrencies, Layer 1, Made in America"
MNT,Mantle,41,0.56581,USD,1904400119.752913,USD,3365794382.8368406,0.095933583984708,"Scaling, DeFi, DAO"
POL,POL (prev. MATIC),42,0.18124,USD,1895572827.6636024,USD,10458909885.585976,0.042886641736772,
GT,GateToken,43,15.1,USD,1855949878.8,USD,122910588,0.001918418220204676,"Centralized-exchange, Exchange tokens"
VET,VeChain,44,0.020576,USD,1769228207.257952,USD,85985041177,0.011081010613855712,"Smart contract platforms, Internet of things, Logistics, Layer 1, Real-world assets"
TRUMP,OFFICIAL TRUMP,45,8.4955,USD,1699094433.1919873,USD,199999344.734505,0.07178755696057912,"Memes, Made in America"
RENDER,Render,46,3.1382,USD,1625991703.052426,USD,518128769.05628264,0.024875339617188803,"Gaming, Distributed computing & Storage, Data management & AI, NFTs & Collectibles, Scaling, Social, media & Content, Metaverse, Web3, DePIN, Made in America"
SKY,Sky,47,0.07573,USD,1612341525.2089524,USD,21290657932.245506,0.0032131338501636976,"Cryptocurrencies, Lending & Borrowing, DeFi, DAO, Real-world assets"
